mean_speed,max_speed,std_speed,mean_acceleration,max_acceleration,num_peaks,name,weight(kg),height(m),bar height(m),video,jump status
0.405274171,5.796134898,0.7793516763,-1.269453924,24.56887016,2,Steven Bastien,90,1.9,1.9,trimmed_1.mp4,1
0.2152585583,1.084162871,0.18613134,0.06619620522,8.038075384,1,Garrett Scantling,95,1.91,1.96,trimmed_10.mp4,1
0.7396174589,18.49951435,2.29731977,-3.200866864,139.2664999,2,Garrett Scantling,95,1.91,1.99,trimmed_11.mp4,1
0.507852981,5.204675306,0.8004300884,1.263666771,42.24197913,2,Lindon Victor,82,1.85,1.99,trimmed_12.mp4,1
0.5209749827,5.760938,1.148972824,0.3699101323,62.91492353,3,Kai Kazmirek,88,1.9,1.99,trimmed_13.mp4,1
0.2395994093,0.8149788176,0.1738147629,-0.01924235005,8.317527107,3,Cedric Dubler,89,1.89,1.99,trimmed_14.mp4,1
0.2195117187,1.196994422,0.2344005246,0.168665233,9.464862011,1,Zach Ziemek,88,1.91,2.02,trimmed_15.mp4,1
0.6977153118,7.691753333,1.281097781,-1.822585485,52.392475,5,Garrett Scantling,95,1.91,2.02,trimmed_16.mp4,0
0.3956883156,2.338506198,0.4047559532,0.2756634966,12.34120841,4,Steven Bastein,90,1.9,2.02,trimmed_17.mp4,1
0.3847553121,6.335008954,0.9014293488,-1.434338358,30.12635075,1,Karel Tilga,94,2.01,2.02,trimmed_18.mp4,0
0.2155173319,1.051195346,0.179791658,0.1726836414,4.051698063,2,Ilya Shkurenyov,82,1.91,1.99,trimmed_19.mp4,0
0.2766420224,0.9811683869,0.1767405534,-0.1897630127,6.435389173,2,Garrett Scantling,95,1.91,1.93,trimmed_2.mp4,1
0.391735801,1.865732991,0.3952470114,-0.01847943197,10.00268808,8,Pierce Lepage,88,2.04,1.99,trimmed_20.mp4,1
0.7451782726,3.633146062,0.7848850698,-0.4596129188,26.49803259,8,Lindon Victor,82,1.85,1.93,trimmed_3.mp4,1
0.224961797,1.74369609,0.3039680178,0.03429753067,14.75479167,2,Kai Kazmirek,88,1.9,1.93,trimmed_4.mp4,1
0.5925615639,4.8736222,1.037696831,-0.6323937881,45.98203634,4,Garrett Scantling,95,1.91,1.96,trimmed_5.mp4,0
0.2421050592,2.120701967,0.2926239082,-0.2030614319,5.4891075,2,Steven Bastien,90,1.9,1.96,trimmed_6.mp4,1
0.2421958548,1.24840963,0.2215393195,0.0525466351,8.389105074,2,Karel Tilga,97,2.01,1.96,trimmed_7.mp4,1
0.2577593604,0.8742189791,0.2022361558,-0.04771678246,5.53714826,3,Damian Warner,83,1.84,1.96,trimmed_8.mp4,1
0.2211519749,1.879676152,0.3211726624,0.03792209313,20.36445848,3,Niklas Kaul,90,1.9,1.96,trimmed_9.mp4,1
0.4067881629,1.648130302,0.409623219,0.1922213956,15.35033493,4,Adam Sebastian Helcelet,92,1.9,1.99,trimmed_21.mp4,0
0.2075359283,0.9051015322,0.1626759553,0.2005025296,6.132053929,0,Ilya Shkurenyov,82,1.91,1.99,trimmed_22.mp4,0
0.2368189011,0.8228684967,0.1846222821,0.1609241665,9.603938349,1,Vitaliy zhuk,73,1.78,1.99,trimmed_23.mp4,0
0.2949398286,1.695670689,0.3214873403,-0.0801644984,10.28441689,4,Adam Sebastian Helcelet,92,1.9,1.99,trimmed_24.mp4,0
0.4761636904,4.340829443,0.8091574743,-0.1637960884,29.86562818,3,Martin roe,86,1.99,2.02,trimmed_25.mp4,0
0.2814630772,1.749645989,0.3559477986,0.09358469777,7.140746648,1,Ilya Shkurenyov,82,1.91,2.02,trimmed_26.mp4,0
0.3155116119,6.013100216,0.6749104517,1.19647258,50.81284856,3,Pawel Wiesiolek,82,1.94,2.02,trimmed_27.mp4,0
0.2285640302,1.429518098,0.3073018325,-0.3502328475,10.12330597,1,Ilya Shkurenyov,82,1.91,2.02,trimmed_28.mp4,0
0.3158585134,2.755870019,0.416360419,0.7567031693,18.94304842,1,Kevin Mayer,82,1.86,2.05,trimmed_29.mp4,0
0.2934859308,1.296963398,0.299585182,0.04358390577,6.920160061,4,Pawel Wiesiolek,82,1.94,2.05,trimmed_30.mp4,0
0.4254603786,3.034387484,0.5672110567,-0.08798581349,3.745792883,4,Felipe dos Santos,83,1.8,2.05,trimmed_31.mp4,0
