mean_speed,max_speed,std_speed,mean_acceleration,max_acceleration,num_peaks,video
0.40678816294750464,1.6481303023239846,0.40962321897425386,0.1922213956027947,15.350334929930614,4,trimmed_21.mp4
0.20753592834165382,0.905101532167433,0.16267595530800583,0.2005025295655757,6.1320539293547265,0,trimmed_22.mp4
0.23681890106899078,0.8228684967212522,0.18462228210347134,0.16092416648263896,9.603938349208759,1,trimmed_23.mp4
0.2949398285627676,1.6956706888299213,0.3214873402702157,-0.08016449839749286,10.284416889240392,4,trimmed_24.mp4
0.47616369039012235,4.340829443234913,0.8091574743218589,-0.1637960884236841,29.865628175813,3,trimmed_25.mp4
0.28146307716745184,1.7496459885260076,0.3559477986059883,0.09358469776745716,7.140746647628144,1,trimmed_26.mp4
0.31551161186032534,6.01310021617812,0.6749104517203164,1.1964725800554046,50.81284856413853,3,trimmed_27.mp4
0.22856403015714752,1.4295180982679627,0.30730183248012477,-0.35023284752568634,10.123305969262825,1,trimmed_28.mp4
0.31585851344649823,2.755870019293903,0.416360418955213,0.7567031692562503,18.943048416519773,1,trimmed_29.mp4
0.29348593081863056,1.2969633981925495,0.29958518203038764,0.043583905768518,6.920160061381909,4,trimmed_30.mp4
0.42546037860341973,3.0343874844459457,0.5672110567286552,-0.08798581348892849,3.7457928832530594,4,trimmed_31.mp4
